054658,297.16
059895,180.63
681630,75.02
053118,82.82
406467,437.22
442516,214.75
765270,416.10
031169,359.19
307471,406.86
435543,280.05
404076,380.98
387784,142.24
920310,191.48
294890,23.48
387921,286.30
403402,39.31
440811,248.24
636916,206.28
383188,294.50
492873,168.69
501738,82.98
619840,496.31
324268,195.91
957752,444.63
134732,485.55
901035,463.60
722263,178.87
174002,61.15
381548,471.57
032701,209.53
219232,200.65
282162,60.21
823998,48.45
029491,440.93
150944,37.30
733881,130.01
944168,131.44
603308,437.68
241187,321.39
873066,371.44
178842,35.93
902496,116.22
324155,362.50
416387,381.31
325976,209.86
675224,258.87
424962,144.46
285156,33.04
383578,298.64
261584,151.64
226717,270.45
219329,33.38
181491,104.09
450422,263.35
340680,296.70
437685,376.17
129199,378.10
298717,220.17
825221,290.59
110789,131.36
248989,130.78
240427,302.96
418620,150.77
907068,289.67
073137,68.57
135895,152.93
073719,170.29
821626,329.04
559870,48.65
148583,177.51
921482,205.77
260623,447.11
513638,136.77
799461,199.26
630470,234.49
226768,328.69
257241,303.21
200319,168.22
626442,40.59
696226,237.85
414710,181.38
711032,253.61
504149,183.50
839915,470.77
589086,291.69
689165,256.42
904008,53.76
659694,152.08
383884,143.15
496661,217.64
191096,323.21
856228,161.59
805536,98.92
840441,453.22
131282,359.54
380428,47.06
764045,229.79
685585,342.94
539430,85.48
892525,147.57
