kenmore,NPW95091,07003736448,2013-03-12 18:38:14,faucet
insinkerator,YNW61590,22384328886,2015-08-19 08:44:39,range
kenmore,CNL11691,46581566026,2015-03-31 14:00:31,hood
bosch,YHL63661,22031040033,2014-11-28 04:30:41,cooktop
maytag,KSM69200,49770756585,2014-06-25 03:37:51,disposal
whirlpool,QGZ32820,66540578176,2012-11-11 09:02:48,hood
kitchenaid,CSE24584,41356718662,2011-07-19 09:27:16,hot water dispenser
kenmore,UZP42477,70872705871,2014-08-04 03:46:14,disposal
insinkerator,BMU36970,55022190635,2015-03-17 13:04:31,disposal
ge,DMF90960,96577119269,2011-10-02 23:25:42,hot water dispenser
kitchenaid,UDX83856,23264894201,2013-01-13 04:19:57,disposal
thermador,GMI72962,69736010773,2013-06-19 07:05:50,washer
whirlpool,FWI02335,06105729753,2011-07-14 14:14:03,hot water dispenser
thermador,CUL89219,06494614522,2014-08-07 10:31:40,dryer
kitchenaid,QYU06303,52990482560,2014-05-01 16:13:30,oven
insinkerator,DHC48958,70965642553,2014-04-29 04:39:56,range
ge,QBE34384,43701593402,2015-01-05 21:08:21,hood
maytag,PDN43467,39622086125,2012-08-30 23:45:01,cooktop
kenmore,JAP99287,23484854978,2015-08-06 22:35:14,washer
bosch,HNR07603,10056321065,2012-01-15 01:13:34,range
ge,GWJ01548,00115556055,2012-05-19 01:32:10,disposal
kenmore,GCZ29944,35503998395,2012-06-24 08:19:42,hood
thermador,CGQ47122,28678177078,2013-07-23 07:44:22,oven
insinkerator,YRT71635,91414886489,2015-08-28 16:54:01,faucet
insinkerator,ZQU43216,92168450878,2013-12-04 00:26:28,dryer
insinkerator,EXW75006,93408753091,2013-03-21 21:41:31,washer
insinkerator,PDA93271,10837357479,2013-12-22 08:27:01,disposal
bosch,EIO58278,28240410300,2011-02-21 18:35:04,disposal
insinkerator,JLS87565,87701958930,2013-12-31 13:30:13,cooktop
kitchenaid,JUQ27339,62408837870,2013-11-07 22:05:47,washer
thermador,JBG81032,47437859367,2015-03-13 22:25:24,hot water dispenser
ge,MLJ13432,90253358277,2014-05-25 06:07:29,microwave
kenmore,DIC42956,87190242782,2011-05-02 02:52:09,washer
maytag,UNV67054,51299554233,2014-11-05 04:26:30,hood
ge,FVK50883,49533725444,2015-04-23 08:34:01,oven
insinkerator,IXJ09524,42274550587,2013-01-08 02:43:57,hood
ge,GBW03273,58874862211,2010-12-08 00:25:22,dishwasher
